FlightNumber,PayloadMass,LaunchSite_CCSFS SLC 40,LaunchSite_KSC LC 39A,LaunchSite_VAFB SLC 4E,Orbit_GTO,Orbit_ISS,Orbit_LEO,Orbit_PO,Orbit_SSO,Orbit_VLEO
1,6123.5,True,False,False,False,False,True,False,False,False
2,525.0,True,False,False,False,False,True,False,False,False
3,677.0,True,False,False,False,False,True,False,False,False
4,500.0,True,False,False,False,False,True,False,False,False
5,3170.0,True,False,False,False,False,True,False,False,False
6,2296.0,True,False,False,False,False,True,False,False,False
7,1316.0,True,False,False,False,False,True,False,False,False
8,1316.0,True,False,False,False,False,True,False,False,False
9,1316.0,True,False,False,False,False,True,False,False,False
10,3700.0,True,False,False,False,False,True,False,False,False
11,1316.0,True,False,False,False,False,True,False,False,False
12,1316.0,True,False,False,False,False,True,False,False,False
13,1316.0,True,False,False,False,False,True,False,False,False
14,1316.0,True,False,False,False,False,True,False,False,False
15,1316.0,True,False,False,False,False,True,False,False,False
16,1316.0,True,False,False,False,False,True,False,False,False
17,1316.0,True,False,False,False,False,True,False,False,False
18,1316.0,True,False,False,False,False,True,False,False,False
19,1316.0,True,False,False,False,False,True,False,False,False
20,1316.0,True,False,False,False,False,True,False,False,False
21,1316.0,True,False,False,False,False,True,False,False,False
22,1316.0,True,False,False,False,False,True,False,False,False
23,1316.0,True,False,False,False,False,True,False,False,False
24,1316.0,True,False,False,False,False,True,False,False,False
25,1316.0,True,False,False,False,False,True,False,False,False
26,1316.0,True,False,False,False,False,True,False,False,False
27,1316.0,True,False,False,False,False,True,False,False,False
28,1316.0,True,False,False,False,False,True,False,False,False
29,1316.0,True,False,False,False,False,True,False,False,False
30,1316.0,True,False,False,False,False,True,False,False,False
31,1316.0,True,False,False,False,False,True,False,False,False
32,1316.0,True,False,False,False,False,True,False,False,False
33,1316.0,True,False,False,False,False,True,False,False,False
34,1316.0,True,False,False,False,False,True,False,False,False
35,1316.0,True,False,False,False,False,True,False,False,False
36,1316.0,True,False,False,False,False,True,False,False,False
37,1316.0,True,False,False,False,False,True,False,False,False
38,1316.0,True,False,False,False,False,True,False,False,False
39,1316.0,True,False,False,True,False,False,False,False,False
40,1316.0,True,False,False,True,False,False,False,False,False
41,1316.0,True,False,False,True,False,False,False,False,False
42,1316.0,True,False,False,True,False,False,False,False,False
43,1316.0,True,False,False,True,False,False,False,False,False
44,1316.0,True,False,False,True,False,False,False,False,False
45,1316.0,True,False,False,True,False,False,False,False,False
46,1316.0,True,False,False,True,False,False,False,False,False
47,1316.0,True,False,False,True,False,False,False,False,False
48,1316.0,True,False,False,True,False,False,False,False,False
49,1316.0,True,False,False,True,False,False,False,False,False
50,1316.0,True,False,False,True,False,False,False,False,False
51,1316.0,True,False,False,True,False,False,False,False,False
52,1316.0,True,False,False,True,False,False,False,False,False
53,1316.0,True,False,False,True,False,False,False,False,False
54,1316.0,True,False,False,True,False,False,False,False,False
55,1316.0,True,False,False,True,False,False,False,False,False
56,1316.0,False,True,False,True,False,False,False,False,False
57,1316.0,False,True,False,True,False,False,False,False,False
58,1316.0,False,True,False,True,False,False,False,False,False
59,1316.0,False,True,False,True,False,False,False,False,False
60,1316.0,False,True,False,True,False,False,False,False,False
61,1316.0,False,True,False,True,False,False,False,False,False
62,1316.0,False,True,False,True,False,False,False,False,False
63,1316.0,False,True,False,True,False,False,False,False,False
64,1316.0,False,True,False,False,True,False,False,False,False
65,1316.0,False,True,False,False,True,False,False,False,False
66,1316.0,False,True,False,False,True,False,False,False,False
67,1316.0,False,True,False,False,True,False,False,False,False
68,1316.0,False,True,False,False,True,False,False,False,False
69,1316.0,False,True,False,False,True,False,False,False,False
70,1316.0,False,True,False,False,True,False,False,False,False
71,1316.0,False,True,False,False,True,False,False,False,False
72,1316.0,False,True,False,False,True,False,False,False,False
73,1316.0,False,True,False,False,True,False,False,False,False
74,1316.0,False,True,False,False,True,False,False,False,False
75,1316.0,False,True,False,False,True,False,False,False,False
76,1316.0,False,True,False,False,False,False,True,False,False
77,1316.0,False,True,False,False,False,False,True,False,False
78,1316.0,False,False,True,False,False,False,True,False,False
79,1316.0,False,False,True,False,False,False,True,False,False
80,1316.0,False,False,True,False,False,False,True,False,False
81,1316.0,False,False,True,False,False,False,True,False,False
82,1316.0,False,False,True,False,False,False,True,False,False
83,1316.0,False,False,True,False,False,False,True,False,False
84,1316.0,False,False,True,False,False,False,False,True,False
85,1316.0,False,False,True,False,False,False,False,True,False
86,1316.0,False,False,True,False,False,False,False,True,False
87,1316.0,False,False,True,False,False,False,False,True,False
88,1316.0,False,False,True,False,False,False,False,True,False
89,1316.0,False,False,True,False,False,False,False,False,True
90,1316.0,False,False,True,False,False,False,False,False,True
